sim_id,final_pnl,final_Vpi,total_trades
800,272847,-1.11116e+06,38
801,138318,-140712,28
802,222902,841802,37
803,200837,356779,29
804,143527,2.31825e+06,29
805,211255,-205145,35
806,108596,-437126,21
807,171957,1.39212e+06,30
808,181678,199275,36
809,242475,-5.05626e+06,32
810,326534,-2.85472e+06,46
811,188162,-701412,28
812,244839,-4.6295e+06,29
813,184163,-3.33905e+06,25
814,132628,875638,28
815,241589,-2.92697e+06,33
816,174620,-3.89571e+06,24
817,268528,-5.7746e+06,41
818,294956,1.25134e+06,32
819,112580,1.40564e+06,23
820,278342,-4.8832e+06,37
821,165239,-356959,26
822,242976,-1.94991e+06,31
823,229493,-1.08781e+06,35
824,187084,-688335,35
825,165288,-2.13158e+06,33
826,190857,4.98501e+06,29
827,218146,-4.44719e+06,30
828,176828,4.00698e+06,31
829,152612,-3.30448e+06,27
830,174304,4.08354e+06,27
831,146529,1.07331e+06,32
832,105357,-690047,22
833,164254,4.73999e+06,28
834,198422,-1.1322e+06,27
835,216069,2.11001e+06,31
836,225261,721668,32
837,74534.4,-982296,22
838,136175,-3.6373e+06,28
839,209787,-4.31577e+06,27
840,212145,1.7004e+06,28
841,204586,2.3566e+06,31
842,175972,-1.86896e+06,30
843,184153,352990,36
844,164309,-613666,26
845,322773,3.31323e+06,33
846,140543,4.24446e+06,29
847,191647,1.32907e+06,28
848,185807,786778,32
849,145004,-2.83012e+06,27
850,159140,-75103.2,30
851,102702,-2.96057e+06,20
852,170384,-1.81701e+06,38
853,295771,-1.77732e+06,41
854,202437,2.06263e+06,33
855,152689,4.31851e+06,24
856,216141,-2.3847e+06,33
857,130047,692611,25
858,179844,-2.13698e+06,31
859,94846.9,1.66783e+06,18
860,116537,12263,19
861,91177.4,-278379,23
862,205021,1.90791e+06,36
863,209355,-1.66817e+06,34
864,202961,6.46737e+06,28
865,214403,-622408,34
866,99232.5,-1.95303e+06,27
867,155965,4.2143e+06,28
868,115670,928225,24
869,187052,-3.87682e+06,30
870,263282,-2.46937e+06,37
871,245866,-1.33943e+06,32
872,247950,708740,38
873,193951,4.6031e+06,28
874,224948,-2.84166e+06,34
875,130888,3.86167e+06,25
876,108512,-1.09815e+06,19
