nu,Vpi,v
0.0261931,9.48718e+06,74946.5
0.0261931,1e+07,63914.2
0.0268138,-1e+07,63386.2
0.0268138,-9.48718e+06,74446
0.0268138,-8.97436e+06,84913.6
0.0268138,-8.46154e+06,94810.8
0.0268138,-7.94872e+06,104112
0.0268138,-7.4359e+06,112804
0.0268138,-6.92308e+06,120837
0.0268138,-6.41026e+06,128309
0.0268138,-5.89744e+06,135214
0.0268138,-5.38462e+06,141531
0.0268138,-4.87179e+06,147280
0.0268138,-4.35897e+06,152417
0.0268138,-3.84615e+06,157087
0.0268138,-3.33333e+06,161151
0.0268138,-2.82051e+06,164604
